exported_file,source_file,duration_seconds,sample_rate,tone,status,warning
wavs/uncle_normal_0001.wav,cleaned_voice_only/s1 e1/10_aba yo madan bahadur le gabisha adakshya kati din.mp3,6.022,44100,normal,exported,
wavs/uncle_normal_0002.wav,cleaned_voice_only/s1 e1/11_ma gabisha adakshya vaye vane ta.mp3,6.303,44100,normal,exported,
wavs/uncle_normal_0003.wav,cleaned_voice_only/s1 e1/12_switzerland vanne kasto cha ha.mp3,1.715,44100,normal,exported,
wavs/uncle_normal_0004.wav,cleaned_voice_only/s1 e1/13_abuii abuii.mp3,2.823,44100,normal,exported,
wavs/uncle_normal_0005.wav,cleaned_voice_only/s1 e1/14_abuii darako chaina.mp3,3.608,44100,normal,exported,
wavs/uncle_normal_0006.wav,cleaned_voice_only/s1 e1/15_darako chaina darako chaina abuii.mp3,5.700,44100,normal,exported,
wavs/uncle_normal_0007.wav,cleaned_voice_only/s1 e1/16_ja vaat basaldai gaar.mp3,8.501,44100,normal,exported,
wavs/uncle_normal_0008.wav,cleaned_voice_only/s1 e1/17_yetro yetro vada ma char mana jati basal.mp3,2.207,44100,normal,exported,
wavs/uncle_normal_0009.wav,cleaned_voice_only/s1 e1/18_hai ani gundruk pakauna ma aauchu ja.mp3,3.515,44100,normal,exported,
wavs/uncle_normal_0010.wav,cleaned_voice_only/s1 e1/19_hyateri hario pario vako bela vidanta garnu parcha ne.mp3,9.512,44100,normal,exported,
wavs/uncle_normal_0011.wav,cleaned_voice_only/s1 e1/1_dhadali lee jitya vaan na dhadali le.mp3,10.031,44100,normal,exported,
wavs/uncle_normal_0012.wav,cleaned_voice_only/s1 e1/20_hernus tapai haru le j garnu vako cha yo desh ko lagi.mp3,10.003,44100,normal,exported,
wavs/uncle_normal_0013.wav,cleaned_voice_only/s1 e1/20_tapai haru ladnush hami pane kaadh ma kaadh milayera aaucham.mp3,4.319,44100,normal,exported,
wavs/uncle_normal_0014.wav,cleaned_voice_only/s1 e1/21_tapai haru le j garnu vako ragat bagaunu vako hamro lagi.mp3,4.009,44100,normal,exported,
wavs/uncle_normal_0015.wav,cleaned_voice_only/s1 e1/22_a maile samjhe.mp3,9.306,44100,normal,exported,
wavs/uncle_normal_0016.wav,cleaned_voice_only/s1 e1/23_a tapai le pardaina vanera huncha.mp3,9.203,44100,normal,exported,
wavs/uncle_normal_0017.wav,cleaned_voice_only/s1 e1/24_la pakhnush ma tapai haru lai seto khashi katera khowchu.mp3,9.515,44100,normal,exported,
wavs/uncle_normal_0018.wav,cleaned_voice_only/s1 e1/2_dhadali gare ra ta kasta kasta.mp3,8.886,44100,normal,exported,
wavs/uncle_normal_0019.wav,cleaned_voice_only/s1 e1/3_heraula heraula tero you churii fuir.mp3,10.031,44100,normal,exported,
wavs/uncle_normal_0020.wav,cleaned_voice_only/s1 e1/4_tali ma tero ghar bata pane.mp3,5.080,44100,normal,exported,
wavs/uncle_normal_0021.wav,cleaned_voice_only/s1 e1/5_a ma yo jit kasko vanchu dhadali ko vaan hai.mp3,5.900,44100,normal,exported,
wavs/uncle_normal_0022.wav,cleaned_voice_only/s1 e1/5_ma yo jit kasko vanchu dhadali ko vaan hai clear.mp3,8.222,44100,normal,exported,
wavs/uncle_normal_0023.wav,cleaned_voice_only/s1 e1/6_boru ma gabisha adakshya vako vaye testo hudaina theyo.mp3,6.715,44100,normal,exported,
wavs/uncle_normal_0024.wav,cleaned_voice_only/s1 e1/7_maobadi le testo garne himmat kaha bata garcha ra.mp3,8.016,44100,normal,exported,
wavs/uncle_normal_0025.wav,cleaned_voice_only/s1 e1/8_na gham vanya cha na pani vanya cha.mp3,9.204,44100,normal,exported,
wavs/uncle_normal_0026.wav,cleaned_voice_only/s1 e1/9_teshai vandya po ta.mp3,2.011,44100,normal,exported,
wavs/uncle_normal_0027.wav,cleaned_voice_only/s1 e2/10_dekhis ta kasto buddhi raicha mero.mp3,8.419,44100,normal,exported,
wavs/uncle_normal_0028.wav,cleaned_voice_only/s1 e2/11_hoina teti saman lerauna kati ber lako.mp3,3.218,44100,normal,exported,
wavs/uncle_normal_0029.wav,cleaned_voice_only/s1 e2/12_hijo beluka yo mashu ma jyan mara khurshani ra.mp3,10.031,44100,normal,exported,
wavs/uncle_normal_0030.wav,cleaned_voice_only/s1 e2/13_jyan mara khurshani surshani sapai bagayera jancha kya.mp3,3.886,44100,normal,exported,
wavs/uncle_normal_0031.wav,cleaned_voice_only/s1 e2/14_a sabun tito huncha ra.mp3,8.620,44100,normal,exported,
wavs/uncle_normal_0032.wav,cleaned_voice_only/s1 e2/15_a hosh pani le nai tin char choti.mp3,7.006,44100,normal,exported,
wavs/uncle_normal_0033.wav,cleaned_voice_only/s1 e2/16_kasto kaat mar ko bayahak kurai gardaina yo ta.mp3,3.911,44100,normal,exported,
wavs/uncle_normal_0034.wav,cleaned_voice_only/s1 e2/17_tero gala ma pittitita garera thappad ka thappad.mp3,7.006,44100,normal,exported,
wavs/uncle_normal_0035.wav,cleaned_voice_only/s1 e2/18_mushu mundhre din vare dulera hidcha.mp3,5.018,44100,normal,exported,
wavs/uncle_normal_0036.wav,cleaned_voice_only/s1 e2/19_a madan bahadur aafu le vanya jasto hudaina raicha.mp3,9.516,44100,normal,exported,
wavs/uncle_normal_0037.wav,cleaned_voice_only/s1 e2/1_timro ra mero eauta jaruri kura paryo ne.mp3,5.013,44100,normal,exported,
wavs/uncle_normal_0038.wav,cleaned_voice_only/s1 e2/20_ma ta tulu tulu herera bashe rahe sugna pane payena.mp3,9.721,44100,normal,exported,
wavs/uncle_normal_0039.wav,cleaned_voice_only/s1 e2/21_vaag pugdaina temi eklai khau.mp3,3.519,44100,normal,exported,
wavs/uncle_normal_0040.wav,cleaned_voice_only/s1 e2/22_ho chodna parcha ma pane choddinchu yo daat hunjel khanchu.mp3,8.008,44100,normal,exported,
